[471,165][507,201]B무 
[474,10][500,42]89 
[701,275][854,293](selenium) C:ljocodir 
[553,71][619,89]pyvenvcfg 
[715,373][851,391]Using cached https 
[700,355][837,373]Coliecting ur11ib3 
[701,291][845,309]Coliecting selenium 
[701,341][787,357]one-any whi 
[553,25][575,41]Lib 
[553,49][597,65]Scripts 
[701,405][779,421]ne-any Whi 
[771,231][831,247]FROBLFMS 
[715,309][851,325]Using cached https 
[767,453][793,467]You 
[69,397][111,411]1개 항국 
[553,5][599,19]Include 
[353,177][409,191]chromedri 
[341,153][365,167]연기 
[235,153][259,167]구성 
[827,453][854,467]usir 
[79,135][101,147]고점 
[797,455][823,467]are 
[128,288][174,296]rkorned 
