[609.0287141376427,102.25168544775693][649.9284107856075,123.74831455224307]binary ' 
[420.9859597468732,3.276131569684461][453.89137319860976,23.72386843031554]Help 
[656.0,435.0][843.0,455.0]kages/8o/d6/4294feb4bce4d 
[708.0,104.0][813.0,124.0]unsupported text 
[285.0,103.0][609.0,121.0]The fileis not displayed in the editor becauseitis either 
[146.0,219.0][251.0,237.0]chromedriverexe 
[291.0,67.0][347.0,83.0]sellenium 
[147.0,199.0][191.0,215.0]Scripts 
[173.0,5.0][231.0,21.0]Selection 
[381.0,67.0][485.0,83.0]chromedriver exe 
[135.0,5.0][163.0,21.0]Edit 
[357.0,5.0][411.0,21.0]Terminal 
[243.0,5.0][275.0,21.0]View 
[577.0,5.0][629.0,21.0]jocoding 
[125.0,67.0][209.0,81.0]OPEN EDITORS 
[285.0,7.0][307.0,21.0]Go 
[319.0,7.0][345.0,21.0]Run 
[525.0,361.0][569.0,375.0]1: cmd 
[367.0,361.0][425.0,375.0]PROBLFMS 
[295.0,361.0][351.0,375.0]TERMINAL 
[477.0,5.0][571.0,19.0]chromedriver exe 
[125.0,39.0][181.0,53.0]EXPLORER 
[147.0,177.0][169.0,191.0]Lib 
[147.0,155.0][169.0,169.0]Incl 
[663.0,107.0][711.0,121.0]uses an 
[637.0,5.0][727.0,19.0]Visual Studio C . 
[125.0,111.0][159.0,125.0]JOC  
[800.5857864376269,454.5857864376269][842.7791340362871,467.4142135623731]Py3-n 
