[450.0,68.0][698.0,310.0]' 
[70.0,138.0][96.0,170.0]89 
[297.0,403.0][741.0,423.0](selenium) C: ljocodinglselenzumlScripts>Pip install selenium 
[147.0,175.0][191.0,193.0]Scripts 
[147.0,221.0][213.0,239.0]Pyvenvcfg 
[147.0,199.0][251.0,215.0]chromedriver exe 
[147.0,133.0][195.0,149.0]Include 
[137.0,5.0][163.0,21.0]Edit 
[99.0,5.0][125.0,21.0]File 
[421.0,5.0][453.0,21.0]Help 
[357.0,5.0][411.0,21.0]Terminal 
[285.0,5.0][307.0,21.0]Go 
[243.0,5.0][275.0,21.0]View 
[173.0,5.0][231.0,21.0]Selection 
[367.0,361.0][425.0,375.0]PROBLEMS 
[295.0,361.0][351.0,375.0]TERMINAL 
[525.0,361.0][569.0,375.0]1: cmd 
[125.0,89.0][159.0,103.0]JOC 
[147.0,155.0][169.0,169.0]Lib 
[125.0,67.0][207.0,81.0]OPEN EDITORS 
[125.0,39.0][181.0,53.0]EXPLORER 
[575.0,5.0][679.0,19.0]Visual Studio Code 
[515.0,7.0][569.0,21.0]jocodlng 
[319.0,7.0][345.0,21.0]Run 
[800.5857864376269,454.5857864376269][842.7791340362871,467.4142135623731]Py3-n 
