[320.0,179.0][814.0,232.0]Chromedriver와 google py 파일이 
[321.0,221.0][597.0,263.0]같은 경로에 있어야함 
[149.0,199.0][211.0,217.0]goagle Pyl 
[727.0,453.0][805.0,471.0]141.0-py2. 
[145.0,449.0][177.0,465.0]조고딩 
[720.0,437.0][842.0,453.0]'d6/4294f0b4bce4d 
[137.0,5.0][163.0,21.0]Edit 
[99.0,5.0][125.0,21.0]File 
[173.0,5.0][231.0,21.0]Selection 
[243.0,5.0][275.0,21.0]View 
[421.0,5.0][453.0,21.0]Help 
[357.0,5.0][411.0,21.0]Terminal 
[319.0,5.0][345.0,21.0]Run 
[285.0,5.0][307.0,21.0]Go 
[517.0,7.0][569.0,21.0]jocodlng 
[377.0,405.0][401.0,419.0]C 
[677.0,405.0][741.0,419.0]selenium 
[619.0,405.0][665.0,419.0]instal 
[407.0,405.0][445.0,419.0]ocod; 
[525.0,361.0][569.0,375.0]1: cmd 
[297.0,405.0][367.0,419.0](selenium 
[575.0,5.0][679.0,19.0]Visual Studio Code 
[367.0,361.0][425.0,375.0]PROBLEMS 
[295.0,361.0][351.0,375.0]TERMINAL 
[125.0,67.0][207.0,81.0]OPEN EDITORS 
[125.0,39.0][181.0,53.0]EXPLORER 
[800.5857864376269,454.5857864376269][842.7791340362871,467.4142135623731]Py3-n 
