[28.0,118.0][163.0,172.0]Google 
[729.1535010280254,437.1219034952862][807.9231735870839,476.8780965047138]frorctrl 
[280.0,422.0][616.0,454.0]관련 문서가 엄청나게 많이 나오조 
[238.0,127.0][488.0,159.0]python selenium example 
[238.0,315.0][852.0,346.0]도움말: 한국어 검색결과만 검색합니다. 환경설정에서 검색 언어름 지정할 
[519.0,367.0][646.0,395.0]getting-started 
[238.0,266.0][524.0,294.0]검색걸과 약 4,530,000개 (0.39소) 
[236.0,368.0][510.0,394.0]selenium-python readthedocs io 
[266.0,206.0][306.0,232.0]전체 
[362.0,206.0][420.0,232.0]동영상 
[586.0,206.0][626.0,232.0]뉴스 
[636.0,438.0][732.0,462.0]webdriver 
[268.0,402.0][454.0,426.0]Cottinn Started 
[764.0,206.0][822.0,230.0]더보기 
[474.0,206.0][530.0,230.0]이미지 
[17.0,53.0][43.0,73.0]< 
[55.0,55.0][77.0,73.0]> 
[105.0,13.0][229.0,31.0]seleniurn exarnple 
[239.0,13.0][269.0,29.0]Go 
[50.71963120067104,14.463557440805248][102.82601742123165,29.53644255919475]python 
