[312.0,101.0][383.0,121.0]Frefox() 
[400.0,68.0][523.0,86.0]keys import Keys 
[175.0,245.0][283.0,263.0]driverclose이 
[175.0,51.0][399.0,67.0]from selenium import webdriver 
[225.0,157.0][391.0,173.0]driver find_element_by 
[403.0,229.0][509.0,245.0]in driver page 
[247.0,211.0][375.0,227.0]keys(keys RETURN) 
[175.0,175.0][265.0,191.0]elem.clear() 
[175.0,157.0][209.0,173.0]elem 
[395.0,159.0][435.0,173.0]name( 
[227.0,229.0][251.0,243.0]"No 
[255.0,229.0][311.0,243.0]results 
[315.0,229.0][355.0,243.0]found 
[373.0,229.0][399.0,243.0]not 
[239.0,105.0][311.0,119.0]Webdriver 
[175.0,105.0][223.0,119.0]driver 
[351.0,71.0][399.0,83.0]common 
[513.0,231.0][561.0,243.0]source 
[210.29289321881345,213.29289321881345][241.8755776840268,224.70710678118655]send 
