[288.0,422.0][538.0,454.0]그리고 문법올 검사해주는 
[533.3447882227953,425.3585340901496][609.491773928549,454.6414659098504]Pylint 
[54.0,242.0][135.0,262.0]upgrade pip 
[142.0,242.0][197.0,260.0]command 
[0.0,227.0][163.0,243.0]ion 20.2.3 is available 
[449.0,323.0][505.0,339.0]Linter pyli 
[1.0,121.0][39.0,137.0]enium 
[733.0,355.0][831.0,371.0]Do not show again 
[601.0,401.0][643.0,415.0]Spaces 
[747.0,401.0][787.0,415.0]Pytnon 
[707.0,401.0][737.0,415.0]CRLF 
[661.0,401.0][697.0,415.0]UIF-8 
[585.0,355.0][619.0,369.0]Install 
[521.0,401.0][591.0,415.0]Ln 12 Col 15 
[643.0,355.0][709.0,369.0]Select Linter 
[429.0,355.0][567.0,369.0]Source; Python (Extension) 
[549.0,323.0][601.0,337.0]installed 
[0.0,243.0][39.0,257.0]stall 
[89.0,0.0][117.0,13.0]1 
