[282.0,419.0][615.0,458.0]driver라는 변수에 저장해줍니다 
[274.0,178.0][490.0,210.0]driver.get("http:l 
[544.0,180.0][670.0,210.0]python org' 
[377.0,150.0][596.0,180.0]webdriver.Chrome() 
[272.0,294.0][550.0,324.0]# elem send_keys("pycon 
[4.0,114.0][28.0,144.0]89 
[273.0,66.0][632.0,94.0]from selenium import webdriver 
[298.0,323.0][620.0,351.0]elem. send_keys(Keys .RETURN) 
[296.0,380.0][468.0,408.0]driver close() 
[462.0,238.0][760.0,266.0]find_element_by_name( "9") 
[556.0,95.0][832.0,123.0]common keys import Keys 
[272.0,266.0][444.0,294.0]# elem clear() 
[390.0,350.0][586.0,376.0]'No results found 
[272.0,95.0][550.0,121.0]from selenium.webdriver 
[390.0,210.0][468.0,236.0]Python 
[228.0,324.0][258.0,348.0]10 
[298.0,352.0][374.0,376.0]assert 
[614.0,352.0][772.0,376.0]not in driver 
[602.0,210.0][668.0,234.0]title 
[778.0,356.0][832.0,380.0]page 
[228.0,352.0][256.0,376.0]11 
[378.0,238.0][456.0,262.0]driver 
[272.0,238.0][352.0,262.0]# elem 
[298.0,210.0][374.0,234.0]assert 
[484.0,210.0][596.0,234.0]in driver 
[241.0,183.0][257.0,205.0]5 
[275.0,155.0][303.0,175.0]dr 
[229.0,383.0][255.0,403.0]12 
[498.0,186.0][547.0,205.0]WWW . 
[74.0,225.0][133.0,243.0]pyvenvcfg 
[217.0,25.0][273.0,41.0]googlepy 
[75.0,207.0][131.0,223.0]google Py 
[75.0,167.0][113.0,183.0]Scipts 
[87.0,71.0][189.0,87.0]google py seleniumm 
[281.0,51.0][339.0,67.0]google py 
[75.0,187.0][167.0,201.0]chromediiver exe 
[67.0,109.0][117.0,123.0]selenium 
[55.0,89.0][111.0,103.0]JOCODING 
[203.0,49.0][253.0,63.0]selenium 
[55.0,25.0][105.0,37.0]PXPLORER 
[55.0,51.0][129.0,63.0]OPEN EDITORS 
[74.29289321881345,129.29289321881345][115.91669596470842,140.70710678118655]Include 
