[320,422][578,454]그러면 이제 이걸응용해서 
[400,68][523,86]keys import Keys 
[189,157][223,173]elem 
[189,247][295,263]driver closel) 
[439,229][523,245]driverpage 
[189,211][391,227]elem. send_keys(keys RETURN) 
[189,193][303,209]elem . send_keysl 
[453,157][477,173]9") 
[175,51][399,67]from selenium import webdriver 
[329,139][421,155]driver title 
[247,141][297,157]Python' 
[189,141][237,155]assert 
[189,229][237,243]assert 
[247,229][325,243]Noresults 
[329,229][369,243]found 
[387,229][413,243]not 
[239,105][361,119]WebdriverChrome 
[175,105][223,119]driver 
[307,195][347,209]pycon 
[351,71][399,83]common 
[527,231][575,243]Source 
[132,368][164,376]Lunlt 
