[468,265][537,283]spellcheck 
[553,455][645,471]DOM Breakpoints 
[255,71][295,87]국그인 
[759,433][839,449]inputgLfytgsfi 
[607,237][697,251]autocapitalize 
[533,315][575,329]dRYYxd 
[563,237][599,251]false 
[705,237][729,251]off 
[587,267][623,281]ticle 
[633,267][659,281]검색 
[689,363][755,377]arja-Label 
[589,365][631,379]jsname 
[793,209][821,223]cype 
[663,433][695,447]#sbtc 
[339,457][373,471]Styies 
[387,457][445,471]computed 
[659,457][715,471]Properties 
[513,223][567,237]jsaction 
[729,457][793,471]Accessibility 
[699,207][729,221]2048' 
[713,145][755,159]jsname 
[669,145][709,159]aib1c 
[575,145][661,159]iDPoPb  class 
[625,127][667,141]uFWOor 
[621,97][663,111]jsnare 
[671,97][713,111]Rixgb 
[521,111][557,125]SDrEP' 
[533,129][567,143]{bIpc 
[489,129][523,141]CIass 
[537,57][581,69]Sources 
[663,57][731,69]Pertormance 
[585,97][613,109]sbtc 
[523,379][575,391]datayed 
[479,379][515,391]ubmit 
[447,365][493,377]<button 
[497,365][531,377]CLass 
[693,223][771,235]aucocompJete 
[737,269][771,281]labe] 
[669,269][703,281]value 
[545,269][579,281]faise 
[475,57][519,69]Console 
[519,177][571,189]Ustyle 
[407,55][455,67]Elemier 
[458,130][484,138]<v 
[706,270][732,278]aria 
