[483.0,346.0][606.0,376.0]driver page 
[4.0,210.0][32.0,238.0]B 
[132.0,320.0][418.0,348.0]elem . send_keys(Keys RETURN) 
[130.0,371.0][282.0,398.0]driver.close() 
[110.0,44.0][429.0,71.0]from selenium import webdriver 
[206.0,346.0][390.0,373.0]"No results found 
[111.2025477771711,68.16585988749353][160.92304789528166,94.83414011250647]from 
[134.0,297.0][356.0,323.0]elem. send_keys("pycon 
[298.0,220.0][462.0,246.0]in driver title 
[132.0,222.0][284.0,248.0]assert "Python 
[204.0,246.0][502.0,272.0]driver.find_element_by_name( 
[184.0,170.0][510.0,196.0]driver find_element_by_name("9" 
[110.0,146.0][304.0,172.0]driver.get("https: 
[432.0,71.0][606.0,97.0]keys import Keys 
[162.0,69.0][358.0,94.0]selenium webdriver 
[132.0,246.0][180.0,270.0]elem 
[70.0,372.0][98.0,396.0]14 
[204.0,122.0][397.0,146.0]webdriverChrome() 
[71.0,349.0][97.0,369.0]13 
[413.0,349.0][481.0,369.0]not in 
[133.0,351.0][199.0,371.0]assert 
[111.0,123.0][181.0,143.0]driver 
[111.0,173.0][159.0,193.0]elem 
[71.0,323.0][97.0,343.0]12 
[71.0,299.0][95.0,319.0]11 
[71.0,273.0][97.0,293.0]10 
[612.0,352.0][677.0,371.0]source 
[119.0,31.0][169.0,45.0]googlePy 
[61.0,9.0][111.0,23.0]googlepy 
[49.0,31.0][93.0,43.0]selenium 
