[352.0,422.0][548.0,454.0]그런데 항상 예제가 
[121.0,159.0][321.0,175.0]drlver fInd_element_by_name('9' ) 
[255.0,57.0][357.0,71.0]keys iriport Keys 
[65.0,101.0][107.0,115.0]drivcr 
[139.0,101.0][179.0,115.0]httpsa 
[195.0,219.0][229.0,233.0]Found 
[79.0,235.0][167.0,249.0]driver closel) 
[97.0,57.0][149.0,69.0]seleniun 
[67.0,87.0][107.0,99.0]driver 
[79.0,147.0][119.0,159.0]asser + 
[127.0,147.0][167.0,159.0]Python 
[243.0,221.0][267.0,233.0]not 
[108.25670585375283,103.33103526837755][137.87415727612154,113.66896473162245]Betl 
[214.0,60.0][252.0,68.0]Common 
[110.0,118.0][148.0,126.0]driver 
[152.0,118.0][178.0,126.0]IId 
