[62.0,322.0][86.0,366.0]13 
[296.0,422.0][462.0,454.0]오런결로 선택할 
[491.2307692307692,76.15384615384616][536.9097135526615,103.84615384615384]Keys 
[98.0,144.0][268.0,170.0]driver.get("https: 
[144.0,188.0][302.0,214.0]send_keys("조코딩 
[143.0,212.0][352.0,236.0]send_keys(Keys.RETURN) 
[320.0,79.0][490.0,103.0]common keys import 
[364.0,346.0][536.0,370.0]not in driver.page 
[99.10557280900008,212.21114561800016][148.94946463705654,235.78885438199984]elem . 
[99.10557280900008,190.21114561800016][148.94946463705654,213.78885438199984]elem . 
[293.0,235.0][407.0,255.0]driver title 
[165.0,325.0][369.0,345.0]send_keys(KeysRETURN) 
[119.0,303.0][315.0,323.0]elem send_keys("pycon 
[119.0,281.0][229.0,301.0]elem clear() 
[117.0,369.0][249.0,389.0]driver closel) 
[431.0,259.0][463.0,279.0]("9 
[293.0,259.0][389.0,279.0]element_by 
[61.0,257.0][85.0,277.0]10 
[183.0,257.0][287.0,277.0]driver . find 
[99.0,79.0][315.0,99.0]from selenium webdriver 
[163.0,169.0][369.0,189.0]driver find_element_by 
[275.0,125.0][349.0,145.0]Chrome() 
[99.0,59.0][141.0,77.0]from 
[183.0,237.0][251.0,255.0]"Python 
[147.0,59.0][223.0,77.0]selenium 
[229.0,59.0][379.0,77.0]import webdriver 
[61.0,369.0][85.0,387.0]15 
[181.0,125.0][269.0,143.0]webdriver 
[265.0,237.0][287.0,253.0]in 
[219.0,349.0][287.0,365.0]results 
[101.0,127.0][159.0,143.0]driver 
[293.0,349.0][343.0,365.0]found 
[119.0,349.0][177.0,365.0]assert 
[183.0,349.0][213.0,365.0]"No 
[119.0,261.0][159.0,277.0]elem 
[99.0,171.0][141.0,187.0]elem 
[119.0,327.0][159.0,343.0]elem 
[119.0,239.0][177.0,255.0]assert 
[541.0,351.0][599.0,365.0]source 
[375.0,173.0][415.0,187.0]namel 
[393.0,263.0][433.0,277.0]name 
[251.0,1.0][273.0,13.0]Help 
