[325.0,421.0][571.0,457.0]driver:find 까지 처보면 
[491.2307692307692,76.15384615384616][536.9097135526615,103.84615384615384]Keys 
[98.0,144.0][268.0,170.0]driver.get("https: 
[143.0,211.0][352.0,237.0]send_keys(Keys.RETURN) 
[98.0,188.0][302.0,214.0]elem. send_keys("조고딩 
[204.0,344.0][296.0,369.0]keys(Keys 
[118.0,390.0][250.0,414.0]driver.close() 
[118.0,300.0][232.0,324.0]elem clear() 
[320.0,79.0][490.0,103.0]common keys import 
[99.06850713433475,212.23016355523603][142.9347444467605,234.76983644476397]elem 
[321.0,149.0][379.0,169.0]google 
[386.0,261.0][475.0,281.0]WebDriver 
[63.0,345.0][85.0,365.0]14 
[165.0,325.0][259.0,345.0]send_keys( 
[431.0,371.0][535.0,391.0]driver page 
[63.0,323.0][85.0,343.0]13 
[63.0,301.0][85.0,321.0]12 
[275.0,125.0][349.0,145.0]Chrome() 
[63.0,279.0][85.0,299.0]11 
[61.0,367.0][85.0,387.0]15 
[61.0,257.0][87.0,277.0]10 
[181.0,123.0][269.0,143.0]webdriver 
[99.0,79.0][315.0,99.0]from selenium webdriver 
[165.0,169.0][369.0,189.0]driver find_element_by 
[189.0,369.0][213.0,387.0]'No 
[301.0,349.0][369.0,367.0]RETURN) 
[147.0,59.0][223.0,77.0]selenium 
[365.0,369.0][425.0,387.0]not in 
[375.0,171.0][423.0,189.0]name( 
[101.0,125.0][159.0,143.0]driver 
[229.0,59.0][379.0,77.0]import webdriver 
[99.0,59.0][141.0,77.0]from 
[99.0,237.0][159.0,255.0]driverl 
[293.0,281.0][361.0,299.0]element 
[119.0,281.0][159.0,299.0]elem 
[61.0,391.0][87.0,409.0]16 
[293.0,371.0][343.0,387.0]found 
[219.0,371.0][287.0,387.0]results 
[393.0,283.0][441.0,299.0]name( 
[119.0,371.0][177.0,387.0]assert 
[165.0,349.0][205.0,365.0]send 
[119.0,349.0][159.0,365.0]elem 
[265.0,329.0][315.0,345.0]Pycon 
[119.0,327.0][159.0,343.0]elem 
[367.0,283.0][389.0,299.0]by 
[119.0,261.0][229.0,277.0]asserdr iver 
[99.0,171.0][141.0,187.0]elem 
[541.0,373.0][599.0,387.0]source 
[385.0,151.0][407.0,165.0]CO 
[251.0,1.0][273.0,13.0]Help 
