[60.0,322.0][88.0,388.0]표 
[58.0,276.0][88.0,323.0]표 
[98.0,188.0][302.0,214.0]elem. send_keys("조코딩 
[320.0,232.0][682.0,258.0]css_selector(".rg_1.Q4Lukld") [0].click() 
[493.17239411139764,78.1792670450748][536.9263926026666,103.8207329549252]Keys 
[99.1401328392153,78.19427896235214][142.94801605407838,102.80572103764786]from 
[346.0,256.0][508.0,280.0]selector(".n3VNCb 
[182.0,300.0][480.0,324.0]driver.find_element_by_name( "9") 
[528.0,256.0][700.0,280.0]get_attributel"src 
[210.0,234.0][316.0,258.0]elements_by 
[143.0,212.0][352.0,236.0]send_keys(Keys.RETURN) 
[98.0,146.0][268.0,170.0]driver.get("https: 
[318.0,146.0][380.0,170.0]google 
[99.10557280900008,212.21114561800016][148.94946463705654,235.78885438199984]elem . 
[183.0,391.0][287.0,412.0]"No results 
[145.0,79.0][315.0,99.0]selenium webdriver 
[211.0,259.0][307.0,279.0]element_by 
[165.0,369.0][369.0,389.0]send_keys(KeysRETURN) 
[119.0,325.0][231.0,345.0]elem clear() 
[165.0,169.0][369.0,189.0]driver find_element_by 
[293.0,279.0][407.0,299.0]driver title 
[431.0,393.0][535.0,413.0]driver page 
[119.0,281.0][259.0,301.0]assert "Python" 
[97.0,257.0][205.0,277.0]driver. find 
[98.0,235.0][205.0,255.0]driver.find 
[275.0,125.0][349.0,145.0]Chrome() 
[61.0,389.0][87.0,409.0]16 
[61.0,411.0][85.0,431.0]17 
[265.0,281.0][287.0,299.0]in 
[431.0,81.0][489.0,99.0]import 
[321.0,83.0][425.0,101.0]common .keys 
[147.0,59.0][223.0,77.0]selenium 
[229.0,59.0][379.0,77.0]import webdriver 
[119.0,349.0][259.0,367.0]elem send_keys( 
[265.0,351.0][315.0,369.0]pycon 
[293.0,393.0][343.0,411.0]found 
[99.0,59.0][141.0,77.0]from 
[365.0,391.0][425.0,409.0]not in 
[119.0,415.0][147.0,431.0]dri 
[541.0,395.0][599.0,411.0]source 
[99.0,171.0][141.0,187.0]elem 
[119.0,395.0][177.0,411.0]assert 
[119.0,371.0][159.0,387.0]elem 
[119.0,305.0][159.0,321.0]elem 
[101.0,127.0][159.0,143.0]driver 
[180.0,127.0][268.0,143.0]webdriver 
[311.0,263.0][341.0,277.0]Css 
[385.0,151.0][407.0,165.0]CO 
[375.0,173.0][421.0,187.0]name( 
[251.0,1.0][273.0,15.0]Hep 
[565.0,1.0][605.0,13.0]gonglepy 
