[95.0,21.0][362.0,46.0]print(driver.find_element_by 
[100.0,0.0][316.0,24.0]driver.find_elements_by 
[456.0,0.0][682.0,24.0]rg_1.Q4Lukd")[0]click() 
[118.0,178.0][250.0,202.0]driver close() 
[500.0,22.0][582.0,46.0]n3VNCb") 
[620.0,22.0][782.0,46.0]attribute("src")) 
[320.0,0.0][452.0,24.0]css_selector(" 
[402.0,24.0][489.0,45.0]selector( 
[61.0,67.0][85.0,87.0]12 
[63.0,133.0][85.0,153.0]15 
[61.0,89.0][85.0,109.0]13 
[119.0,135.0][369.0,155.0]elem  send_keys(KeysRETURN) 
[61.0,157.0][87.0,177.0]16 
[365.0,157.0][425.0,177.0]not in 
[293.0,45.0][407.0,65.0]driver title 
[117.0,157.0][177.0,177.0]assert 
[189.0,47.0][251.0,67.0]Python 
[61.0,45.0][85.0,65.0]11 
[61.0,179.0][85.0,199.0]17 
[165.0,114.0][329.0,134.0]send_keys("pycon" ) 
[580.8905996075496,26.335899411324313][616.6061960564676,44.66410058867569]Bet 
[63.0,113.0][85.0,131.0]14 
[183.0,69.0][287.0,87.0]driver find 
[63.0,25.0][87.0,43.0]10 
[219.0,159.0][287.0,177.0]results 
[293.0,159.0][343.0,177.0]found 
[92.0,294.0][147.0,311.0]Hstening 
[541.0,161.0][599.0,177.0]source 
[119.0,93.0][159.0,109.0]elem 
[119.0,115.0][159.0,131.0]elem 
[119.0,49.0][177.0,65.0]assert 
[183.0,159.0][213.0,175.0]"No 
[265.0,49.0][287.0,65.0]in 
[119.0,71.0][159.0,87.0]elem 
[739.0,319.0][791.0,333.0]SSL error 
[467.0,355.0][563.0,369.0]afdg-60cbae18426b 
[367.0,29.0][397.0,43.0]Css 
[45.0,297.0][93.0,309.0]Devlools 
[45.0,321.0][103.0,333.0](selenlum) 
[45.0,357.0][127.0,369.0]Devlools Hsten 
[794.0,322.0][816.0,330.0]code 
