[585,121][723,233]JO 
[473,369][717,389]크리에이터] 코딩 유두버 조코딩 "전공과 비전공 _ 
[66,218][107,236]irpUr1 
[243,87][283,105]Gorg 
[122,262][229,279]"Python" 1n drive 
[127,159][201,175]keys("소고딩 
[473,407][521,421]관련 이미지 
[177,309][223,323]nycon" ) 
[109,309][167,323]send reys 
[79,279][107,293]elem 
[163,219][229,233]find_eleme 
[109,87][199,101]urllib.request 
[67,205][149,219]tire. sleep(3) 
[67,175][229,189]elen. send_keys(Keys.RETURN 
[151,145][229,159]rind_element 
[183,115][229,129]Chromel 
[65,234][155,247]ur]lib.request 
[65,161][95,173]@len 
[65,147][95,159]elen 
[691,407][719,419]더보기 
[122,222][160,230]driver 
[66,118][104,126]driver 
