[617.0,421.0][715.0,457.0]있습니다 
[476.0,302.0][848.0,328.0]css_selector(".n3VNCb").get_attribute("src" 
[200.0,323.0][496.0,348.0]ur11ib.requesturlretrieve(imgUr1, 
[244.0,220.0][408.0,245.0]send_keys("조고딩" ) 
[578.0,262.0][746.0,286.0]Q4Lukd" ) [0].click() 
[199.0,262.0][574.0,286.0]driver.find_elements_by_css_selector(".rg_i 
[198.0,304.0][258.0,328.0]imgUr1 
[511.0,327.0][599.0,347.0]test. jpg" ) 
[203.0,244.0][437.0,264.0]elem. send_keys(Keys.RETURN) 
[279.0,305.0][471.0,325.0]driver find_element_by 
[459.0,201.0][539.0,221.0]name("9") 
[167.0,283.0][189.0,303.0]12 
[165.0,345.0][189.0,365.0]15 
[202.0,159.0][257.0,179.0]driver 
[203.0,119.0][385.0,139.0]import ur11ib.request 
[511.0,78.0][607.0,98.0]import Keys 
[465.0,78.0][505.0,98.0]keys 
[167.0,387.0][189.0,407.0]17 
[279.0,389.0][471.0,409.0]driver.find_element_by 
[203.4929798734366,223.13806578484224][240.97166760316193,241.86193421515776]elem 
[167.0,305.0][189.0,323.0]13 
[167.0,325.0][189.0,343.0]14 
[165.0,367.0][189.0,385.0]16 
[281.0,369.0][489.0,387.0]"Python" in driver title 
[167.0,263.0][189.0,281.0]11 
[365.0,203.0][455.0,221.0]element_by 
[305.0,183.0][359.0,201.0]https: 
[203.0,183.0][299.0,201.0]driver.get( 
[279.0,161.0][419.0,179.0]webdriver.Chrome 
[203.0,59.0][317.0,75.0]from selenium 
[167.0,245.0][189.0,261.0]10 
[263.0,203.0][359.0,219.0]driver find 
[263.0,99.0][301.0,115.0]time 
[201.0,371.0][275.0,387.0]#assert 
[203.0,101.0][257.0,117.0]import 
[201.0,391.0][259.0,407.0]#elem 
[203.0,79.0][403.0,95.0]from selenium. webdriver 
[323.0,59.0][463.0,75.0]import webdriver 
[409.0,81.0][463.0,95.0]common 
[233.0,3.0][255.0,17.0]Help 
