[217.0,308.0][301.0,325.0]keys( "pycon") 
[145.0,189.0][377.0,205.0]driver find_elements_by_css_selector(' 
[175.0,203.0][221.0,219.0]sleep(3 
[157.0,279.0][187.0,293.0]@len 
[333.0,57.0][403.0,71.0]keys import 
[407.0,57.0][437.0,71.0]Keys 
[261.0,115.0][313.0,129.0]Chronel) 
[157.0,309.0][187.0,323.0]elen 
[231.0,145.0][369.0,159.0]find_element_by_nane(" 
[231.0,43.0][271.0,57.0]import 
[145.0,221.0][185.0,235.0]imBUr1 
[243.0,219.0][271.0,233.0]find 
[145.0,43.0][227.0,55.0]fron selenium 
[145.0,147.0][175.0,159.0]elem 
[175.0,57.0][227.0,69.0]selenium 
[186.18076807948097,311.42653765563665][213.90152305746827,319.57346234436335]S 
[366.0,222.0][416.0,230.0]selector 
