[336.0,422.0][564.0,454.0]다운발고하는 코드니까 
[364.0,180.0][422.0,204.0]Boogle 
[160.0,282.0][276.0,306.0]time sleep(3) 
[594.0,262.0][702.0,286.0]')e].click() 
[236.0,386.0][506.0,410.0]driverfind_element_by_name( "9" 
[160.0,220.0][368.0,244.0]elem. send_keys("조고딩" ) 
[124.0,384.0][148.0,408.0]17 
[125.0,283.0][147.0,303.0]12 
[161.0,57.0][421.0,77.0]from selenium import webdriver 
[469.0,327.0][541.0,347.0]test. jpg 
[159.0,264.0][335.0,284.0]driver find_elements 
[125.0,263.0][147.0,283.0]11 
[159.0,369.0][309.0,389.0]# assert "Python" 
[125.0,345.0][147.0,365.0]15 
[125.0,407.0][147.0,427.0]18 
[160.0,159.0][215.0,179.0]driver 
[159.0,119.0][343.0,139.0]import ur1lib.request 
[425.0,78.0][463.0,98.0]keys 
[469.0,78.0][567.0,98.0]import Keys 
[214.89059960754955,182.3358994113243][248.56699535817907,200.6641005886757]'Bet 
[125.0,325.0][147.0,343.0]14 
[125.0,429.0][147.0,447.0]19 
[161.0,307.0][215.0,325.0]imgUr1 
[125.0,305.0][147.0,323.0]13 
[469.0,307.0][549.0,325.0]selector( 
[263.0,183.0][317.0,201.0]https: 
[125.0,243.0][147.0,261.0]10 
[469.0,203.0][497.0,221.0]9") 
[237.0,161.0][377.0,179.0]webdriverChrome 
[125.0,367.0][147.0,385.0]16 
[675.0,307.0][763.0,323.0]attributel 
[177.0,391.0][215.0,407.0]elem 
[573.0,307.0][617.0,323.0]3VNCb 
[315.0,369.0][447.0,385.0]in driver title 
[493.0,269.0][517.0,285.0]rg 
[341.0,307.0][403.0,323.0]element 
[297.0,307.0][335.0,323.0]find 
[237.0,307.0][291.0,323.0]driver 
[537.0,267.0][593.0,283.0]Q4Lukd 
[401.0,267.0][473.0,283.0]selector 
[367.0,267.0][395.0,283.0]css 
[417.0,205.0][463.0,221.0]name( 
[323.0,205.0][413.0,221.0]element_by 
[221.0,203.0][319.0,219.0]driver find 
[161.0,203.0][199.0,219.0]elem 
[161.0,183.0][215.0,199.0]driver 
[221.0,99.0][259.0,115.0]time 
[159.0,101.0][215.0,117.0]import 
[161.0,79.0][361.0,95.0]from selenium. webdriver 
[177.0,411.0][265.0,427.0]elem.clear 
[177.0,433.0][259.0,447.0]elem . send 
[191.0,3.0][213.0,17.0]Help 
[769.0,309.0][797.0,323.0]src 
[435.0,309.0][463.0,323.0]css 
[367.0,81.0][421.0,95.0]common 
[635.5134117075056,310.6620705367551][668.5787044347527,322.3379294632449]'Bet 
