[212.0,422.0][290.0,454.0]이미지들 
[190.0,111.0][242.0,137.0]image 
[157.0,174.0][216.0,199.0]imgUr1 
[160.0,48.0][368.0,72.0]elem . send_keys("조고딩" ) 
[468.0,196.0][542.0,220.0]test.jpg 
[558.0,174.0][798.0,198.0]n3VNCb" ) .get_attribute("src 
[157.0,93.0][216.0,117.0]images 
[158.0,132.0][258.0,156.0][0].click() 
[124.0,110.0][148.0,134.0]12 
[125.0,175.0][147.0,195.0]15 
[176.0,239.0][309.0,259.0]assert "Python" 
[125.0,237.0][147.0,257.0]18 
[125.0,195.0][147.0,215.0]16 
[236.0,175.0][335.0,195.0]driver.find 
[161.0,155.0][275.0,175.0]time sleep(3) 
[125.0,133.0][147.0,153.0]13 
[341.0,259.0][429.0,279.0]element_by 
[341.0,93.0][557.0,113.0]elements_by_css_selector( 
[161.0,73.0][395.0,93.0]elem. send_keys(KeysRETURN) 
[315.0,237.0][447.0,257.0]1n driver title 
[569.0,95.0][609.0,113.0]rg_i 
[237.0,259.0][335.0,277.0]driver . find 
[125.0,155.0][149.0,173.0]14 
[433.0,261.0][505.0,279.0]name( "9" 
[341.0,177.0][429.0,195.0]element_by 
[125.0,259.0][147.0,277.0]19 
[469.0,177.0][549.0,195.0]selector( 
[125.0,93.0][147.0,111.0]11 
[615.0,95.0][675.0,113.0]Q4Lukd" 
[125.0,73.0][147.0,91.0]10 
[125.0,217.0][147.0,235.0]17 
[469.0,33.0][497.0,51.0]9") 
[221.0,33.0][413.0,51.0]driver find_element_by 
[159.0,261.0][215.0,277.0]# elem 
[161.0,13.0][215.0,29.0]driver 
[435.0,179.0][463.0,195.0]css 
[161.0,33.0][199.0,49.0]elem 
[159.0,115.0][189.0,131.0]for 
[237.0,95.0][335.0,111.0]driver.find 
[417.0,35.0][463.0,51.0]name( 
[216.65465441200737,14.520119853208113][248.63561283860153,28.47988014679189]get 
[233.0,383.0][263.0,395.0]7127 
[109.0,427.0][141.0,439.0](selen 
