[522,422][618,454]하게되면 
[234,232][350,258]image.c1ick() 
[200,128][408,154]elem . send_keys("조고딩" ) 
[164,294][188,318]17 
[164,274][188,298]16 
[0,100][24,124]B문 
[234,215][374,239]image in images: 
[380,172][480,196]elements_by 
[198,175][255,196]images 
[165,173][187,193]11 
[543,299][615,319]test Jpg 
[635,279][837,299]n3VNCb" ) .get_attribute( 
[311,277][537,297]driver.find_element_by_css 
[235,279][289,299]imgUr1 
[165,193][187,213]12 
[517,175][715,195]selector(".rg_1.Q4Lukd" 
[201,153][435,173]elem. send_keys(KeysRETURN) 
[285,93][357,113]("hnttps: 
[261,30][383,50]ur11ib. request 
[165,339][187,357]19 
[165,319][187,337]18 
[201,31][255,49]import 
[543,279][625,297]selector(' 
[165,153][187,171]10 
[235,259][349,277]time. sleep(3) 
[277,71][433,89]webdriverChromel) 
[199,113][239,131]elem 
[363,113][495,131]element_by_name 
[261,9][299,27]time 
[201,217][229,233]for 
[277,175][375,191]driver. find 
[303,321][349,337]count 
[235,321][281,337]count 
[235,301][289,317]ur1lib 
[261,113][357,129]driver. find 
[201,73][255,89]driver 
[201,197][247,213]count 
[201,93][255,109]driver 
[199,11][255,27]import 
[483,179][513,193]css 
[287,363][349,377]Pvthon" 
[379,363][435,377]driver 
[53,39][83,51]Scnpu 
