[121,449][153,467]주고딩 
[511,263][601,279]get_attribute( 
[388,263][451,279]~selector( 
[144,190][183,204]images 
[475,281][499,295]JPB 
[383,279][449,293]str(count) 
[225,265][363,279]driver find_element_by 
[169,249][253,263]timc. slecp(3) 
[205,235][251,249]click( 
[174,55][227,69]selenium 
[231,43][271,57]import 
[145,175][313,189]elemsend_keys(Keys.RETURN) 
[231,145][363,159]find_elenent_by_namel 
[199,115][311,129]ebdriver Chronel) 
[189,71][217,85]time 
[333,57][437,71]keys import Keys 
[145,205][181,219]count 
[243,191][271,203]find 
[39,195][61,207]3대 
[169,221][203,233]immape 
[145,161][173,173]@le 
[145,147][175,159]elem 
[219,295][253,307]count 
[274,324][312,332]r 
