[96,36][120,98]표 
[318,368][378,392]height 
[338,306][770,330]execute_script("return document.bodyscrollHeight" 
[604,180][770,204]body. scrollHeight) ; 
[164,326][284,350]if new_height 
[97,161][121,181]18 
[269,287][419,307]new scrol1 height 
[97,285][119,305]24 
[97,265][119,285]23 
[211,245][419,265]sleep(SCROLL_PAUSE_TIME) 
[97,327][119,347]26 
[97,181][119,201]19 
[199,307][257,327]height 
[313,329][417,349]1ast_height: 
[97,139][119,159]17 
[97,119][121,139]16 
[457,101][753,121]'eturn document body.scroliHeight") 
[97,15][119,35]11 
[131,37][283,57]SCROLL_PAUSE_TIME 
[97,99][121,119]15 
[185,79][299,99]scrol1 height 
[97,389][119,407]29 
[97,245][119,263]22 
[459,289][607,307]compare with last 
[211,371][267,389]height 
[97,307][119,325]25 
[97,349][119,367]27 
[97,225][119,243]21 
[97,203][119,221]20 
[133,103][231,121]last_height 
[97,369][119,387]28 
[175,0][367,17]sena_keys(keysKEIUKN) 
[167,371][205,387]1ast 
[279,309][333,325]driver 
[203,351][249,367]break 
[167,247][205,263]time 
[425,289][453,305]and 
[185,289][265,305]Calculate 
[167,227][291,243]#Nait to load 
[527,185][599,201]document 
[245,165][369,181]down to bottom 
[185,143][229,159]True: 
[133,143][179,159]while 
[253,103][419,119]driver.execute_scri 
[151,81][179,97]Get 
[303,39][333,55]0.5 
[297,229][333,245]page 
[83,455][161,469][31536:35224.16 
[83,443][149,457][31536:35224: 
[133,1][171,15]elem 
[287,373][319,387]new 
[167,311][197,325]new 
[553,467][589,479]1, Ss1 
