[0,35][13,61]pg 
[338,266][608,290]execute_script("return document 
[510,58][744,82]document body.scrollHeight" 
[96,98][120,122]17 
[166,204][418,228]time.sleep(SCROLL_PAUSE_TIME) 
[131,371][190,395]images 
[604,142][770,166]body. scrollHeight); 
[167,187][333,207]# Iait to load page 
[319,331][377,351]height 
[225,269][257,289]ght 
[269,247][419,267]new scroi1 height 
[97,349][119,369]29 
[97,225][119,245]23 
[97,205][119,225]22 
[97,329][121,349]28 
[97,163][119,183]20 
[613,247][727,267]scrol1 height 
[613,269][769,289]bodyscrollHeight" 
[97,267][119,287]25 
[167,331][267,351]last_height 
[97,121][121,141]18 
[211,371][411,391]driver.find_elements_by 
[417,373][649,393]css_selector(" rg_1.Q4Lukd" 
[97,79][119,99]16 
[253,61][505,81]driverexecute_script("return 
[133,61][231,81]last_height 
[313,289][417,309]1ast_height: 
[227,291][283,309]height 
[279,269][333,287]driver 
[97,289][119,307]26 
[97,309][119,327]27 
[459,249][607,267]compare with last 
[97,247][119,265]24 
[527,145][599,163]document 
[297,145][521,163]script("windowscrollTole, 
[167,145][291,163]driver execute 
[97,143][119,161]19 
[131,0][283,17]SCROLL_PAUSE_TIME 
[97,0][121,17]12 
[99,373][121,389]30 
[133,395][179,411]count 
[425,249][453,265]and 
[203,311][249,327]break 
[167,291][189,307]if 
[183,249][265,265]Calculate 
[245,125][369,141]down to bottom 
[185,125][239,141]Scrol1 
[185,103][229,119]True: 
[133,103][179,119]While 
[303,1][333,17]0.5 
[287,335][317,349]new 
[167,273][197,285]new 
[659,445][709,457]net_error 
[553,467][589,479]1, SsL 
