[207,202][418,229]s1eep(SCROLL_PAUSE_TIME) 
[604,142][770,166]body. scrollHeight); 
[131,371][190,395]images 
[510,58][744,82]document body.scrollHeight" 
[613,269][769,289]body. scrollHeight" 
[97,121][121,141]18 
[97,225][119,245]23 
[97,205][119,225]22 
[613,247][727,267]scrol1 height 
[97,267][119,287]25 
[339,269][607,289]execute_script("return document 
[167,331][267,351]last_height 
[319,331][377,351]height 
[97,349][119,369]29 
[313,61][505,81]execute_script("return 
[131,61][231,81]last_height 
[97,59][119,79]15 
[97,39][121,59]14 
[271,371][411,391]find_elements_by 
[415,373][649,393]css_selector(".rg_1.Q4Lukd" 
[269,247][453,267]new scroi1 height and 
[193,291][273,309]new_heigh 
[167,271][257,289]new_height 
[97,289][119,307]26 
[459,249][607,267]compare with last 
[97,247][119,265]24 
[313,291][419,309]1ast_height: 
[527,145][599,163]document 
[97,143][119,161]19 
[97,101][119,119]17 
[97,309][119,327]27 
[97,0][121,17]12 
[131,0][239,17]SCROLL_PAUSE 
[279,271][333,287]driver 
[185,103][229,119]True: 
[133,395][179,411]count 
[245,1][283,17]TIME 
[303,1][333,17]0.5 
[211,373][265,389]driver 
[253,63][307,79]driver 
[99,373][121,389]30 
[133,103][179,119]While 
[185,125][239,141]Scrol1 
[99,333][121,349]28 
[245,125][369,141]down to bottom 
[167,207][205,223]time 
[183,249][265,265]Calculate 
[167,291][189,307]if 
[287,335][317,349]new 
[83,455][137,469][31536:352 
[553,467][589,479] SsL 
[416,468][462,476]handshako 
