[166,204][418,228]time.sleep(SCROLL_PAUSE_TIME) 
[604,142][770,166]body. scrollHeight); 
[131,371][190,395]images 
[510,58][744,82]document body.scrollHeight" 
[198,266][258,290]~height 
[535,269][769,289]document.body.scrollHeight" 
[97,121][121,141]18 
[97,225][119,245]23 
[97,205][119,225]22 
[613,247][727,267]scrol1 height 
[97,267][119,287]25 
[225,289][283,309]height 
[319,331][377,351]height 
[97,349][119,369]29 
[339,269][497,289]execute_script("ret 
[313,61][505,81]execute_script("return 
[131,61][231,81]last_height 
[97,59][119,79]15 
[97,39][121,59]14 
[271,371][411,391]find_elements_by 
[415,373][649,393]css_selector(".rg_1.Q4Lukd" 
[269,247][453,267]new scroi1 height and 
[99,331][121,349]28 
[313,291][411,309]last_height 
[97,309][119,327]27 
[459,249][607,267]compare with last 
[97,247][119,265]24 
[527,145][599,163]document 
[297,145][521,163]script("window scrollTole, 
[97,289][119,307]26 
[97,143][119,161]19 
[167,331][205,349]1ast 
[211,333][265,351]height 
[97,101][119,119]17 
[167,145][291,163]driver execute 
[97,0][121,17]12 
[131,0][239,17]SCROLL_PAUSE 
[167,291][189,307]if 
[303,1][333,17]0.5 
[279,271][333,287]driver 
[133,395][181,411]count 
[203,311][249,327]break 
[183,249][265,265]Calculate 
[245,125][369,141]down to bottom 
[185,125][239,141]Scrol1 
[245,1][283,17]TIME 
[185,103][229,119]True: 
[133,103][179,119]While 
[99,373][121,389]30 
[253,63][307,79]driver 
[211,373][265,389]driver 
[287,335][319,349]new 
[193,293][223,307]new 
[167,273][199,287]new 
[553,467][589,479] SsL 
