[190.0,422.0][292.0,454.0]이안쪽에 
[38.0,74.0][190.0,99.0]Get scrol1 height 
[194.0,282.0][310.0,306.0]scroll height 
[416.0,178.0][660.0,202.0]documentbody. scrollHeight); 
[88.0,302.0][148.0,326.0]height 
[98.0,240.0][308.0,264.0]sleep(SCROLL_PAUSE_TIME) 
[113.0,325.0][173.0,345.0]height 
[349.0,284.0][617.0,304.0]compare With last scrol1 height 
[23.0,33.0][173.0,53.0]SCROLL_PAUSE_TIME 
[203.0,98.0][633.0,117.0]execute_script("return document body. scrollHeight" 
[169.0,305.0][223.0,323.0]driver 
[503.0,305.0][625.0,323.0]body.scroliHei 
[23.0,99.0][121.0,117.0]1ast_height 
[57.0,389.0][155.0,407.0]last_height 
[73.0,159.0][129.0,177.0]Scro11 
[57.0,285.0][155.0,303.0]# Calculate 
[203.0,327.0][307.0,345.0]1ast_height: 
[23.0,139.0][119.0,157.0]While True: 
[57.0,181.0][181.0,199.0]driverexecute 
[91.0,369.0][139.0,385.0]break 
[143.0,99.0][197.0,115.0]driver 
[57.0,327.0][79.0,343.0]if 
[203.0,161.0][259.0,177.0]bottom 
[229.0,307.0][497.0,323.0]execute_script("return document 
[193.0,37.0][223.0,53.0]0.5 
[135.0,161.0][173.0,177.0]down 
[620.7196312006711,306.46355744080523][658.710395663108,321.53644255919477]ght" 
[55.0,309.0][87.0,323.0]new 
[83.0,329.0][115.0,343.0]new 
[315.0,287.0][343.0,301.0]and 
[159.0,287.0][189.0,301.0]new 
[57.0,245.0][95.0,259.0]time 
[177.0,391.0][207.0,405.0]new 
