[322.0,356.0][558.0,383.0]selector(" .mye4qd" ) .click() 
[243.0,336.0][302.0,361.0]height 
[21.0,170.0][122.0,194.0]1ast_height 
[75.06850713433475,191.23016355523603][120.9523741203679,213.76983644476397]True: 
[23.068507134334755,66.23016355523603][62.92112852882912,88.76983644476397]elem 
[57.0,275.0][205.0,296.0]time.sleep(SCROLL 
[67.0,89.0][257.0,110.0]send_keys(Keys.RETURN) 
[38.0,422.0][95.0,442.0]images 
[477.0,173.0][625.0,193.0]body. scroliHeight 
[56.0,233.0][111.0,253.0]driver 
[89.0,317.0][147.0,337.0]height 
[503.0,317.0][659.0,337.0]body. scroliHeight" 
[209.0,379.0][267.0,399.0]height 
[83.0,339.0][171.0,359.0]new_height 
[105.0,67.0][229.0,87.0]keys("조고딩" ) 
[211.0,275.0][309.0,295.0]PAUSE_TIME) 
[142.0,171.0][197.0,191.0]driver 
[21.0,129.0][129.0,149.0]SCROLL_PAUSE 
[195.0,359.0][285.0,379.0]element_by 
[229.0,319.0][359.0,337.0]execute_script( 
[57.0,381.0][155.0,399.0]1ast_height 
[503.0,299.0][617.0,317.0]scrol1 height 
[349.0,297.0][497.0,315.0]compare With last 
[195.0,299.0][309.0,317.0]scroll height 
[75.0,297.0][155.0,315.0]Calculate 
[75.0,153.0][189.0,171.0]scrol1 height 
[73.0,215.0][129.0,233.0]Scroli 
[73.0,257.0][223.0,275.0]Nait to load page 
[203.0,173.0][335.0,191.0]execute_script( 
[117.0,235.0][409.0,253.0]execute_script("window. scroiiTo(o, 
[23.0,193.0][69.0,211.0]while 
[39.0,153.0][69.0,169.0]Get 
[91.0,361.0][189.0,377.0]driver.find 
[135.0,131.0][171.0,147.0]TIME 
[117.0,423.0][163.0,439.0]drive 
[203.0,339.0][241.0,355.0]1ast 
[365.0,319.0][497.0,335.0]return document 
[169.0,319.0][223.0,335.0]driver 
[203.0,215.0][259.0,231.0]bottom 
[41.0,443.0][87.0,459.0]count 
[23.0,91.0][61.0,107.0]elem 
[315.0,299.0][343.0,315.0]and 
[135.0,215.0][197.0,231.0]down to 
[175.0,383.0][207.0,397.0]new 
[67.0,71.0][103.0,85.0]send 
[339.0,175.0][395.0,189.0]return 
[399.0,175.0][471.0,189.0]document 
[159.0,301.0][189.0,315.0]new 
[57.0,321.0][87.0,335.0]new 
[417.0,237.0][489.0,251.0]document 
[0.0,25.0][21.0,39.0]lepy 
