[758.0,446.0][852.0,474.0]S [Save] 
[686.0,446.0][730.0,472.0]Ctrll 
[120.0,169.0][271.0,188.0]sleep(SCROLL_PAUSE_TIHE) 
[409.0,201.0][529.0,217.0]body scrollHeight") 
[427.0,245.0][473.0,261.0]click() 
[139.0,245.0][365.0,261.0]driver find_element_by_css_selector( 
[79.0,83.0][187.0,99.0]Get scroli height 
[91.0,142.0][179.0,157.0]driver execute 
[65.0,113.0][101.0,127.0]Vhile 
[103.0,127.0][173.0,141.0]Scroll down 
[103.0,157.0][131.0,171.0]Mait 
[391.0,99.0][499.0,113.0]body scrollleipht' 
[195.0,99.0][333.0,113.0]execute_script("rpturn 
[115.0,203.0][157.0,217.0]height 
[169.0,201.0][211.0,215.0]driver 
[67.0,99.0][139.0,113.0]last_height 
[263.0,201.0][309.0,215.0]scriptl 
[133.0,321.0][205.0,335.0]driverfind 
[133.0,217.0][175.0,231.0]height 
[195.0,217.0][271.0,231.0]last_height; 
[199.0,291.0][243.0,305.0]height 
[127.0,39.0][235.0,53.0]keys(Keys.RETURN) 
[103.32732720600369,112.26005992660406][134.98177985059027,124.73994007339594]Trve: 
[115.0,261.0][155.0,273.0]except 
[115.0,233.0][139.0,245.0]Ury 
[67.0,69.0][175.0,81.0]SCROLL_PAUSE_TIME 
[91.0,173.0][119.0,185.0]time 
[312.0,204.0][348.0,212.0]Feturn 
[214.0,204.0][258.0,212.0]execute 
