[280,14][374,38]height and 
[118,34][178,58]height 
[258,34][528,58]execute_script("return document 
[232,54][338,78]1ast_height: 
[17,15][39,35]20 
[155,97][253,117]driver find 
[68,204][125,224]images 
[239,161][297,181]height 
[87,161][185,181]1ast_height 
[17,159][39,179]27 
[17,139][39,159]26 
[120,120][183,140]except: 
[259,99][349,119]element_by 
[17,117][39,137]25 
[17,97][39,117]24 
[533,37][689,57]body.scroliHeight" 
[533,15][647,35]scroll height 
[199,37][253,55]driver 
[17,181][39,199]28 
[17,201][39,219]29 
[379,17][527,35]compare With last 
[147,203][347,221]driver. find_elements_by 
[387,205][501,223]selectorl".rg 
[121,81][157,97]try: 
[87,17][185,33]# Calculate 
[155,143][203,159]break 
[87,39][117,53]new 
[207,165][239,179]new 
[353,103][381,117]css 
[57,253][81,267]se1+ 
[491,265][543,277]In erecute 
[175,299][275,311]screen, stacktrace) 
[147,321][195,333]4183.121) 
