[114.0,224.0][174.0,248.0]height 
[91.06850713433475,246.23016355523603][122.86513619654818,268.76983644476394]try= 
[57.0,163.0][309.0,184.0]time.sleep(SCROLL_PAUSE_TIME) 
[22.0,79.0][69.0,99.0]while 
[203.0,371.0][301.0,391.0]elements_by 
[22.0,372.0][77.0,392.0]images 
[229.0,267.0][319.0,287.0]element_by 
[203.0,227.0][301.0,247.0]1ast_height 
[57.0,121.0][409.0,141.0]driver execute_script("window. scroliTo(o, 
[21.0,17.0][129.0,37.0]SCROLL_PAUSE 
[477.0,61.0][625.0,81.0]bodyscrollHeight 
[142.0,59.0][197.0,79.0]driver 
[89.0,205.0][147.0,225.0]height 
[503.0,207.0][659.0,225.0]body . scrollHeight" 
[229.0,207.0][497.0,225.0]execute_script("return document 
[57.0,331.0][155.0,349.0]last_height 
[449.0,269.0][591.0,287.0]mye4qd" ) .click() 
[357.0,269.0][437.0,287.0]selector( 
[23.0,61.0][61.0,79.0]1ast 
[203.0,61.0][335.0,79.0]execute_scriptl 
[75.0,103.0][129.0,121.0]Scroli 
[75.0,41.0][189.0,59.0]scrol1 height 
[177.0,331.0][267.0,349.0]new_height 
[503.0,187.0][617.0,205.0]scrol1 height 
[195.0,187.0][309.0,205.0]scrol1 height 
[305.0,373.0][427.0,391.0]css_selector(" 
[75.0,185.0][155.0,203.0]Calculate 
[433.0,373.0][533.0,391.0]rg_1.Q4Lukld' 
[73.0,145.0][223.0,163.0]Nait to load page 
[135.0,19.0][173.0,35.0]TIME 
[169.0,207.0][223.0,223.0]driver 
[39.0,41.0][69.0,57.0]Get 
[57.0,227.0][79.0,243.0]if 
[315.0,187.0][343.0,203.0]and 
[99.0,373.0][197.0,389.0]driver.find 
[125.0,269.0][223.0,285.0]driver find 
[91.0,291.0][153.0,307.0]except: 
[127.0,311.0][173.0,327.0]break 
[135.0,103.0][259.0,119.0]down to bottom 
[399.0,63.0][471.0,77.0]document 
[417.0,125.0][489.0,139.0]document 
[57.0,209.0][87.0,223.0]new 
[159.0,189.0][189.0,203.0]new 
[339.0,63.0][395.0,77.0]return 
[83.0,229.0][113.0,243.0]new 
[0.0,431.0][51.0,443.0]turn self 
[17.0,455.0][117.0,467.0]error_handler check 
