[308.0,422.0][592.0,454.0]그런데 다운 받다보면 이렇게 
[169.0,110.0][241.0,128.0]last_height 
[168.0,184.0][251.0,202.0]imaBe click() 
[403.0,229.0][449.0,245.0](count) 
[505.0,67.0][551.0,81.0]click() 
[267.0,215.0][449.0,229.0]find_element_by_css_selector( 
[145.0,275.0][235.0,289.0]driver closel) 
[475.0,231.0][499.0,245.0]JpB' 
[535.0,215.0][627.0,229.0]attributelsrc' 
[455.0,215.0][497.0,229.0]n3viicb 
[169.0,215.0][211.0,229.0]inpur] 
[195.0,83.0][241.0,97.0]except: 
[201.0,201.0][253.0,215.0]sleep(3) 
[199.0,141.0][431.0,155.0]drivcr.find_clemcnts_by_css_sclcctorl' 
[145.0,143.0][187.0,157.0]1mages 
[219.0,97.0][253.0,111.0]break 
[225.0,215.0][263.0,227.0]driver 
[169.0,201.0][197.0,213.0]time 
[509.2567058537528,217.33103526837755][533.7772448707075,227.66896473162245]Vet 
[146.0,158.0][178.0,166.0]Count 
