[124.0,187.0][212.0,211.0]in images: 
[38.0,187.0][120.0,211.0]for image 
[140.0,40.0][336.0,64.0]driver find_element_by 
[463.0,40.0][608.0,64.0]mye4qd" ) .click() 
[2.0,60.0][26.0,84.0]25 
[532.0,290.0][566.0,314.0]jpg' 
[295.02871413764274,146.25168544775693][324.8480336648438,167.74831455224307]by_ 
[107.0,249.0][196.0,270.0]time sleep 
[225.0,105.0][283.0,125.0]height 
[129.0,1.0][189.0,21.0]height 
[3.0,249.0][25.0,269.0]34 
[449.0,147.0][553.0,167.0]rg_1.Q4Lukd" 
[3.0,269.0][25.0,289.0]35 
[115.0,145.0][291.0,165.0]driver.find_elements 
[105.0,271.0][163.0,291.0]imgUr1 
[3.0,125.0][25.0,145.0]28 
[3.0,207.0][25.0,227.0]32 
[107.0,293.0][401.0,313.0]ur11ib. request.urlretrieve(imgUr1, 
[3.0,311.0][25.0,331.0]37 
[3.0,83.0][25.0,103.0]26 
[106.0,64.0][169.0,84.0]except: 
[3.0,353.0][25.0,373.0]39 
[259.0,1.0][323.0,21.0]height: 
[3.0,291.0][25.0,309.0]36 
[3.0,229.0][25.0,247.0]33 
[3.0,333.0][25.0,351.0]38 
[73.0,335.0][135.0,353.0]except: 
[3.0,373.0][25.0,391.0]40 
[441.0,293.0][495.0,311.0]count) 
[3.0,187.0][25.0,205.0]31 
[3.0,167.0][25.0,185.0]30 
[321.0,147.0][443.0,165.0]css_selector(" 
[39.0,149.0][93.0,167.0]images 
[3.0,145.0][25.0,163.0]29 
[73.0,107.0][171.0,125.0]1ast_height 
[3.0,105.0][25.0,123.0]27 
[373.0,45.0][453.0,63.0]selector( 
[106.0,356.0][145.0,373.0]pass 
[73.0,211.0][109.0,227.0]try: 
[175.0,315.0][223.0,331.0]count 
[193.0,3.0][257.0,19.0]= 1ast 
[107.0,25.0][137.0,41.0]try 
[141.0,87.0][189.0,103.0]break 
[107.0,315.0][153.0,331.0]count 
[39.0,169.0][85.0,185.0]count 
[339.0,47.0][367.0,61.0]css 
[407.0,295.0][435.0,309.0]str 
[193.0,109.0][223.0,123.0]new 
[99.0,5.0][129.0,19.0]new 
[78.0,450.0][108.0,458.0]거기다 
[134.0,450.0][162.0,458.0]FFPUP 
